Date,AssetPrice,AssetPriceUSD,GoldPrice,Ratio
1948-03-01,0.215,0.2150,43,0.00500000
1948-03-02,0.215,0.2150,43,0.00500000
1948-03-03,0.215,0.2150,43,0.00500000
1948-03-04,0.215,0.2150,43,0.00500000
1948-03-05,0.215,0.2150,43,0.00500000
1948-03-08,0.215,0.2150,43,0.00500000
1948-06-01,0.215,0.2150,43.25,0.00497110
1948-06-02,0.215,0.2150,43.25,0.00497110
1948-06-03,0.215,0.2150,43.25,0.00497110
1948-06-04,0.215,0.2150,43.25,0.00497110
1948-06-07,0.215,0.2150,43.25,0.00497110
1948-06-08,0.215,0.2150,43.25,0.00497110
1948-09-01,0.235,0.2350,41.5,0.00566265
1948-09-02,0.235,0.2350,41.5,0.00566265
1948-09-03,0.235,0.2350,41.5,0.00566265
1948-09-07,0.235,0.2350,41.5,0.00566265
1948-09-08,0.235,0.2350,41.5,0.00566265
1948-12-01,0.235,0.2350,42,0.00559524
1948-12-02,0.235,0.2350,42,0.00559524
1948-12-03,0.235,0.2350,42,0.00559524
1948-12-06,0.235,0.2350,42,0.00559524
1948-12-07,0.235,0.2350,42,0.00559524
1948-12-08,0.235,0.2350,42,0.00559524
1949-03-01,0.235,0.2350,42,0.00559524
1949-03-02,0.235,0.2350,42,0.00559524
1949-03-03,0.235,0.2350,42,0.00559524
1949-03-04,0.235,0.2350,42,0.00559524
1949-03-07,0.235,0.2350,42,0.00559524
1949-03-08,0.235,0.2350,42,0.00559524
1949-06-01,0.176,0.1760,42.5,0.00414118
1949-06-02,0.176,0.1760,42.5,0.00414118
1949-06-03,0.176,0.1760,42.5,0.00414118
1949-06-06,0.176,0.1760,42.5,0.00414118
1949-06-07,0.176,0.1760,42.5,0.00414118
1949-06-08,0.17,0.1700,42.5,0.00400000
1949-09-01,0.176,0.1760,40.5,0.00434568
1949-09-02,0.176,0.1760,40.5,0.00434568
1949-09-06,0.176,0.1760,40.5,0.00434568
1949-09-07,0.176,0.1760,40.5,0.00434568
1949-09-08,0.176,0.1760,40.5,0.00434568
1949-12-01,0.185,0.1850,40.5,0.00456790
1949-12-02,0.185,0.1850,40.5,0.00456790
1949-12-05,0.185,0.1850,40.5,0.00456790
1949-12-06,0.185,0.1850,40.5,0.00456790
1949-12-07,0.185,0.1850,40.5,0.00456790
1949-12-08,0.185,0.1850,40.5,0.00456790
1950-03-01,0.185,0.1850,40.5,0.00456790
1950-03-02,0.185,0.1850,40.5,0.00456790
1950-03-03,0.185,0.1850,40.5,0.00456790
1950-03-06,0.185,0.1850,40.5,0.00456790
1950-03-07,0.185,0.1850,40.5,0.00456790
1950-03-08,0.185,0.1850,40.5,0.00456790
1950-06-01,0.205,0.2050,41.5,0.00493976
1950-06-02,0.205,0.2050,41.5,0.00493976
1950-06-05,0.225,0.2250,41.5,0.00542169
1950-06-06,0.225,0.2250,41.5,0.00542169
1950-06-07,0.225,0.2250,41.5,0.00542169
1950-06-08,0.225,0.2250,41.5,0.00542169
1950-09-01,0.225,0.2250,36.5,0.00616438
1950-09-05,0.225,0.2250,36.5,0.00616438
1950-09-06,0.225,0.2250,36.5,0.00616438
1950-09-07,0.225,0.2250,36.5,0.00616438
1950-09-08,0.225,0.2250,36.5,0.00616438
1950-12-01,0.245,0.2450,40.25,0.00608696
1950-12-04,0.245,0.2450,40.25,0.00608696
1950-12-05,0.245,0.2450,40.25,0.00608696
1950-12-06,0.245,0.2450,40.25,0.00608696
1950-12-07,0.245,0.2450,40.25,0.00608696
1950-12-08,0.245,0.2450,40.25,0.00608696
1951-03-01,0.245,0.2450,40.25,0.00608696
1951-03-02,0.245,0.2450,40.25,0.00608696
1951-03-05,0.245,0.2450,40.25,0.00608696
1951-03-06,0.245,0.2450,40.25,0.00608696
1951-03-07,0.245,0.2450,40.25,0.00608696
1951-03-08,0.245,0.2450,40.25,0.00608696
1951-06-01,0.245,0.2450,44,0.00556818
1951-06-04,0.245,0.2450,44,0.00556818
1951-06-05,0.245,0.2450,44,0.00556818
1951-06-06,0.245,0.2450,44,0.00556818
1951-06-07,0.245,0.2450,44,0.00556818
1951-06-08,0.245,0.2450,44,0.00556818
1951-09-04,0.245,0.2450,40,0.00612500
1951-09-05,0.245,0.2450,40,0.00612500
1951-09-06,0.245,0.2450,40,0.00612500
1951-09-07,0.245,0.2450,40,0.00612500
1951-12-03,0.245,0.2450,40,0.00612500
1951-12-04,0.245,0.2450,40,0.00612500
1951-12-05,0.245,0.2450,40,0.00612500
1951-12-06,0.245,0.2450,40,0.00612500
1951-12-07,0.245,0.2450,40,0.00612500
1952-03-03,0.245,0.2450,40,0.00612500
1952-03-04,0.245,0.2450,40,0.00612500
1952-03-05,0.245,0.2450,40,0.00612500
1952-03-06,0.245,0.2450,40,0.00612500
1952-03-07,0.245,0.2450,40,0.00612500
1952-06-02,0.245,0.2450,40.75,0.00601227
1952-06-03,0.245,0.2450,40.75,0.00601227
1952-06-04,0.245,0.2450,40.75,0.00601227
1952-06-05,0.245,0.2450,40.75,0.00601227
1952-06-06,0.245,0.2450,40.75,0.00601227
1952-09-02,0.245,0.2450,38.15,0.00642202
1952-09-03,0.245,0.2450,38.15,0.00642202
1952-09-04,0.245,0.2450,38.15,0.00642202
1952-09-05,0.245,0.2450,38.15,0.00642202
1952-09-08,0.245,0.2450,38.15,0.00642202
1952-12-01,0.245,0.2450,38.7,0.00633075
1952-12-02,0.245,0.2450,38.7,0.00633075
1952-12-03,0.245,0.2450,38.7,0.00633075
1952-12-04,0.245,0.2450,38.7,0.00633075
1952-12-05,0.245,0.2450,38.7,0.00633075
1952-12-08,0.245,0.2450,38.7,0.00633075
1953-03-02,0.275,0.2750,38.7,0.00710594
1953-03-03,0.275,0.2750,38.7,0.00710594
1953-03-04,0.275,0.2750,38.7,0.00710594
1953-03-05,0.275,0.2750,38.7,0.00710594
1953-03-06,0.275,0.2750,38.7,0.00710594
1953-06-01,0.2975,0.2975,39.25,0.00757962
1953-06-02,0.2975,0.2975,39.25,0.00757962
1953-06-03,0.2975,0.2975,39.25,0.00757962
