Date,AssetPrice,AssetPriceUSD,GoldPrice,Ratio
1959-12-01,382.34,91.0333,35.25,2.58250591
1959-12-02,383.98,91.4238,35.25,2.59358325
1959-12-03,384.28,91.4952,35.25,2.59560959
1959-12-04,383.49,91.3071,35.25,2.59027356
1959-12-07,386.69,92.0690,35.25,2.61188788
1959-12-08,389.37,92.7071,35.25,2.62998987
1960-03-01,412.77,98.2786,35.25,2.78804458
1960-03-02,413.47,98.4452,35.25,2.79277271
1960-03-03,413.03,98.3405,35.25,2.78980074
1960-03-04,411.31,97.9310,35.25,2.77818305
1960-03-07,411.35,97.9405,35.25,2.77845323
1960-03-08,410.42,97.7190,35.25,2.77217156
1960-06-01,458.25,109.1071,35.2,3.09963474
1960-06-02,462.9,110.2143,35.2,3.13108766
1960-06-03,463.24,110.2952,35.2,3.13338745
1960-06-07,466.43,111.0548,35.2,3.15496483
1960-06-08,463.68,110.4000,35.2,3.13636364
1960-09-01,591.62,140.8619,36.5,3.85923027
1960-09-02,596.46,142.0143,36.5,3.89080235
1960-09-05,602.78,143.5190,36.5,3.93202870
1960-09-06,603.79,143.7595,36.5,3.93861709
1960-09-07,588.98,140.2333,36.5,3.84200913
1960-09-08,584,139.0476,36.5,3.80952381
1960-12-01,543.31,129.3595,36.5,3.54409654
1960-12-02,548.33,130.5548,36.5,3.57684279
1960-12-05,540.78,128.7571,36.5,3.52759295
1960-12-06,541.01,128.8119,36.5,3.52909328
1960-12-07,543.16,129.3238,36.5,3.54311807
1960-12-08,541.94,129.0333,36.5,3.53515982
1961-03-01,539.96,128.5619,36.5,3.52224397
1961-03-02,543.05,129.2976,36.5,3.54240052
1961-03-03,548.07,130.4929,36.5,3.57514677
1961-03-06,518.43,129.6075,36.5,3.55089041
1961-03-07,535.39,133.8475,36.5,3.66705479
1961-03-08,532.93,133.2325,36.5,3.65020548
1961-06-02,578.38,144.5950,36.5,3.96150685
1961-06-05,587.24,146.8100,36.5,4.02219178
1961-06-06,591.48,147.8700,36.5,4.05123288
1961-06-07,583.48,145.8700,36.5,3.99643836
1961-06-08,581.95,145.4875,36.5,3.98595890
1961-09-01,474.69,118.6725,35.15,3.37617354
1961-09-04,470.12,117.5300,35.15,3.34366999
1961-09-05,464.69,116.1725,35.15,3.30504979
1961-09-06,455.98,113.9950,35.15,3.24310100
1961-09-07,464.09,116.0225,35.15,3.30078236
1961-09-08,470.86,117.7150,35.15,3.34893314
1961-12-01,506.83,126.7075,35.5,3.56922535
1961-12-04,497.68,124.4200,35.5,3.50478873
1961-12-05,498.9,124.7250,35.5,3.51338028
1961-12-06,500.17,125.0425,35.5,3.52232394
1961-12-07,498.42,124.6050,35.5,3.51000000
1961-12-08,500.5,125.1250,35.5,3.52464789
1962-03-01,474.36,118.5900,35.5,3.34056338
1962-03-02,477.96,119.4900,35.5,3.36591549
1962-03-05,479.23,119.8075,35.5,3.37485915
1962-03-06,481.24,120.3100,35.5,3.38901408
1962-03-07,478.63,119.6575,35.5,3.37063380
1962-03-08,474.91,118.7275,35.5,3.34443662
1962-06-01,406.26,101.5650,35.5,2.86098592
1962-06-04,401.16,100.2900,35.5,2.82507042
1962-06-05,394.69,98.6725,35.5,2.77950704
1962-06-06,401.5,100.3750,35.5,2.82746479
1962-06-07,400.27,100.0675,35.5,2.81880282
1962-06-08,401.68,100.4200,35.5,2.82873239
1962-09-03,382.04,95.5100,35.2,2.71335227
1962-09-04,380.63,95.1575,35.2,2.70333807
1962-09-05,377.62,94.4050,35.2,2.68196023
1962-09-06,374.64,93.6600,35.2,2.66079545
1962-09-07,375.76,93.9400,35.2,2.66875000
1962-12-03,402.8,100.7000,35.35,2.84865629
1962-12-04,390.93,97.7325,35.35,2.76471004
1962-12-05,397.55,99.3875,35.35,2.81152758
1962-12-06,400.42,100.1050,35.35,2.83182461
1962-12-07,397.63,99.4075,35.35,2.81209335
1963-03-01,348.83,87.2075,35.35,2.46697313
1963-03-04,348.79,87.1975,35.35,2.46669024
1963-03-05,352.22,88.0550,35.35,2.49094767
1963-03-06,352.88,88.2200,35.35,2.49561528
1963-03-07,357.35,89.3375,35.35,2.52722772
1963-03-08,364.86,91.2150,35.35,2.58033946
1963-06-04,437.5,109.3750,35.42,3.08794466
1963-06-05,434.63,108.6575,35.42,3.06768775
1963-06-07,431.44,107.8600,35.42,3.04517222
1963-09-02,453.64,113.4100,35.25,3.21730496
1963-09-03,456.21,114.0525,35.25,3.23553191
1963-09-04,458.29,114.5725,35.25,3.25028369
1963-09-05,459.4,114.8500,35.25,3.25815603
1963-09-06,462.53,115.6325,35.25,3.28035461
1963-12-02,426.64,106.6600,35.25,3.02581560
1963-12-03,431.77,107.9425,35.25,3.06219858
1963-12-04,434.67,108.6675,35.25,3.08276596
1963-12-05,432.03,108.0075,35.25,3.06404255
1963-12-06,430.8,107.7000,35.25,3.05531915
1964-03-02,494.51,123.6275,35.25,3.50716312
1964-03-03,495.85,123.9625,35.25,3.51666667
1964-03-04,492.95,123.2375,35.25,3.49609929
1964-03-05,492.65,123.1625,35.25,3.49397163
1964-03-06,495.82,123.9550,35.25,3.51645390
1964-06-01,477.18,119.2950,35.25,3.38425532
1964-06-02,471.38,117.8450,35.25,3.34312057
1964-06-03,467.18,116.7950,35.25,3.31333333
1964-06-04,471.53,117.8825,35.25,3.34418440
1964-06-05,477,119.2500,35.25,3.38297872
1964-06-08,478.6,119.6500,35.25,3.39432624
1964-09-01,523.52,130.8800,35.35,3.70240453
1964-09-02,527.39,131.8475,35.35,3.72977369
1964-09-03,525.5,131.3750,35.35,3.71640736
1964-09-04,523.86,130.9650,35.35,3.70480905
1964-09-07,522.86,130.7150,35.35,3.69773692
1964-09-08,523.52,130.8800,35.35,3.70240453
1964-12-01,478.63,119.6575,35.35,3.38493635
1964-12-02,479.3,119.8250,35.35,3.38967468
1964-12-03,474.36,118.5900,35.35,3.35473833
1964-12-07,477.41,119.3525,35.35,3.37630835
1964-12-08,481.05,120.2625,35.35,3.40205092
1965-03-01,471.42,117.8550,35.35,3.33394625
1965-03-02,471.31,117.8275,35.35,3.33316832
1965-03-03,469.04,117.2600,35.35,3.31711457
1965-03-04,469.26,117.3150,35.35,3.31867044
1965-03-05,472.46,118.1150,35.35,3.34130127
1965-03-08,471.75,117.9375,35.35,3.33628006
1965-06-01,467.48,116.8700,35.25,3.31546099
1965-06-02,465.69,116.4225,35.25,3.30276596
1965-06-03,464.43,116.1075,35.25,3.29382979
1965-06-04,466.95,116.7375,35.25,3.31170213
1965-06-08,462.75,115.6875,35.25,3.28191489
1965-09-01,460.86,115.2150,35.5,3.24549296
1965-09-02,460.04,115.0100,35.5,3.23971831
1965-09-03,462.45,115.6125,35.5,3.25669014
1965-09-06,461.19,115.2975,35.5,3.24781690
1965-09-07,461.38,115.3450,35.5,3.24915493
1965-09-08,461.3,115.3250,35.5,3.24859155
1965-12-01,423.55,105.8875,35.5,2.98274648
1965-12-02,427.94,106.9850,35.5,3.01366197
1965-12-03,432.96,108.2400,35.5,3.04901408
1965-12-06,430.54,107.6350,35.5,3.03197183
1965-12-07,426.04,106.5100,35.5,3.00028169
1965-12-08,430.62,107.6550,35.5,3.03253521
1966-03-01,446.02,111.5050,35.5,3.14098592
1966-03-02,444.9,111.2250,35.5,3.13309859
1966-03-03,444.3,111.0750,35.5,3.12887324
1966-03-04,444.45,111.1125,35.5,3.12992958
1966-03-07,441.85,110.4625,35.5,3.11161972
1966-03-08,440.99,110.2475,35.5,3.10556338
1966-06-01,395.36,98.8400,35.5,2.78422535
1966-06-02,397.33,99.3325,35.5,2.79809859
1966-06-03,401.98,100.4950,35.5,2.83084507
1966-06-06,401.53,100.3825,35.5,2.82767606
1966-06-07,399.26,99.8150,35.5,2.81169014
1966-06-08,395.99,98.9975,35.5,2.78866197
1966-09-01,352.59,88.1475,35.3,2.49709632
1966-09-02,353.07,88.2675,35.3,2.50049575
1966-09-05,352.25,88.0625,35.3,2.49468839
1966-09-06,352.07,88.0175,35.3,2.49341360
1966-09-07,352.77,88.1925,35.3,2.49837110
1966-09-08,355.75,88.9375,35.3,2.51947592
1966-12-01,343.81,85.9525,35.4,2.42803672
1966-12-02,350.69,87.6725,35.4,2.47662429
1966-12-05,354.78,88.6950,35.4,2.50550847
1966-12-06,355.49,88.8725,35.4,2.51052260
1966-12-07,350.47,87.6175,35.4,2.47507062
1966-12-08,346.6,86.6500,35.4,2.44774011
1967-03-01,378.7,94.6750,35.4,2.67443503
1967-03-02,380.85,95.2125,35.4,2.68961864
1967-03-03,382.01,95.5025,35.4,2.69781073
1967-03-06,381.08,95.2700,35.4,2.69124294
1967-03-07,379.07,94.7675,35.4,2.67704802
1967-03-08,378.85,94.7125,35.4,2.67549435
1967-06-01,373.08,93.2700,35.27,2.64445705
1967-06-02,370.14,92.5350,35.27,2.62361781
1967-06-05,361.51,90.3775,35.27,2.56244684
1967-06-06,364.56,91.1400,35.27,2.58406578
1967-06-07,372.63,93.1575,35.27,2.64126737
1967-06-08,371.37,92.8425,35.27,2.63233626
1967-09-01,437.39,109.3475,35.5,3.08021127
1967-09-04,434.97,108.7425,35.5,3.06316901
1967-09-05,438.2,109.5500,35.5,3.08591549
1967-09-06,441.63,110.4075,35.5,3.11007042
1967-09-07,444.6,111.1500,35.5,3.13098592
1967-09-08,448.8,112.2000,35.5,3.16056338
1967-12-01,483.1,120.7750,35.5,3.40211268
1967-12-04,482.17,120.5425,35.5,3.39556338
1967-12-05,484.73,121.1825,35.5,3.41359155
1967-12-06,486.22,121.5550,35.5,3.42408451
1967-12-07,489.79,122.4475,35.5,3.44922535
1967-12-08,488.71,122.1775,35.5,3.44161972
1968-01-31,524.57,131.1425,35.2,3.72563920
1968-02-01,522.56,130.6400,35.2,3.71136364
1968-02-02,528.99,132.2475,35.2,3.75703125
1968-02-05,528.32,132.0800,35.2,3.75227273
1968-02-06,532.19,133.0475,35.2,3.77975852
1968-02-07,532.45,133.1125,35.2,3.78160511
1968-02-29,522.22,130.5550,35.2,3.70894886
1968-03-01,520.44,130.1100,35.2,3.69630682
1968-03-04,518.62,129.6550,35.2,3.68338068
1968-03-05,513.85,128.4625,35.2,3.64950284
1968-03-06,513.56,128.3900,35.2,3.64744318
1968-03-07,517.54,129.3850,35.2,3.67571023
1968-03-29,535.61,133.9025,39.4,3.39854061
1968-04-01,542.75,135.6875,39.4,3.44384518
1968-04-02,541.08,135.2700,39.4,3.43324873
1968-04-03,538.33,134.5825,39.4,3.41579949
1968-04-04,542.72,135.6800,39.4,3.44365482
1968-04-05,542.64,135.6600,39.4,3.44314721
1968-04-30,562.21,140.5525,39.1,3.59469309
1968-05-02,565.26,141.3150,39.1,3.61419437
1968-05-03,567.56,141.8900,39.1,3.62890026
1968-05-06,570.76,142.6900,39.1,3.64936061
1968-05-07,575.19,143.7975,39.1,3.67768542
1968-05-31,557.52,139.3800,41.3,3.37481840
1968-06-04,566.52,141.6300,41.3,3.42929782
1968-06-05,564.85,141.2125,41.3,3.41918886
1968-06-06,571.65,142.9125,41.3,3.46035109
1968-06-07,575.93,143.9825,41.3,3.48625908
1968-06-28,591.36,147.8400,41,3.60585366
1968-07-01,593.93,148.4825,41,3.62152439
1968-07-02,594.3,148.5750,41,3.62378049
1968-07-03,596.27,149.0675,41,3.63579268
1968-07-04,590.25,147.5625,41,3.59908537
1968-07-05,595.05,148.7625,41,3.62835366
1968-07-31,585.71,146.4275,38.75,3.77877419
1968-08-01,587.2,146.8000,38.75,3.78838710
1968-08-02,588.17,147.0425,38.75,3.79464516
1968-08-05,590.47,147.6175,38.75,3.80948387
1968-08-06,593.56,148.3900,38.75,3.82941935
1968-08-07,593.22,148.3050,38.75,3.82722581
1968-08-30,591.22,147.8050,39.9,3.70438596
1968-09-02,584.04,146.0100,39.9,3.65939850
1968-09-03,575.63,143.9075,39.9,3.60670426
1968-09-04,581.88,145.4700,39.9,3.64586466
1968-09-05,576.82,144.2050,39.9,3.61416040
1968-09-06,582.62,145.6550,39.9,3.65050125
1968-09-30,567.3,141.8250,38.55,3.67898833
1968-10-01,573.18,143.2950,38.55,3.71712062
1968-10-02,576.78,144.1950,38.55,3.74046693
1968-10-03,578.5,144.6250,38.55,3.75162127
1968-10-04,582.7,145.6750,38.55,3.77885863
1968-10-07,584.56,146.1400,38.55,3.79092088
1968-10-31,581.92,145.4800,39.5,3.68303797
1968-11-01,577.12,144.2800,39.5,3.65265823
1968-11-04,576.56,144.1400,39.5,3.64911392
1968-11-05,571.47,142.8675,39.5,3.61689873
1968-11-06,570.87,142.7175,39.5,3.61310127
1968-11-07,574.7,143.6750,39.5,3.63734177
1968-11-29,560.12,140.0300,40.62,3.44731659
1968-12-02,551.64,137.9100,40.62,3.39512555
1968-12-03,536.95,134.2375,40.62,3.30471443
1968-12-04,543.61,135.9025,40.62,3.34570409
1968-12-05,547.51,136.8775,40.62,3.36970704
1968-12-06,551.64,137.9100,40.62,3.39512555
1968-12-31,555.62,138.9050,41.72,3.32945829
1969-01-02,560.35,140.0875,41.72,3.35780201
1969-01-03,566.56,141.6400,41.72,3.39501438
1969-01-06,566.18,141.5450,41.72,3.39273730
1969-01-07,558.71,139.6775,41.72,3.34797459
1969-01-31,591.4,147.8500,42.52,3.47718721
1969-02-03,588.2,147.0500,42.52,3.45837253
1969-02-04,585.82,146.4550,42.52,3.44437912
1969-02-05,590.17,147.5425,42.52,3.46995532
1969-02-06,590.55,147.6375,42.52,3.47218956
1969-02-07,588.5,147.1250,42.52,3.46013641
1969-02-28,571.95,142.9875,42.7,3.34865340
1969-03-03,572.92,143.2300,42.7,3.35433255
1969-03-04,580.88,145.2200,42.7,3.40093677
1969-03-05,584.78,146.1950,42.7,3.42377049
1969-03-06,580.02,145.0050,42.7,3.39590164
1969-03-07,573.92,143.4800,42.7,3.36018735
1969-03-31,581.36,145.3400,43.4,3.34884793
1969-04-01,582.92,145.7300,43.4,3.35783410
1969-04-02,586.64,146.6600,43.4,3.37926267
1969-04-03,589.13,147.2825,43.4,3.39360599
1969-04-30,581.25,145.3125,43.6,3.33285550
1969-05-02,584.26,146.0650,43.6,3.35011468
1969-05-05,586.38,146.5950,43.6,3.36227064
1969-05-06,586.34,146.5850,43.6,3.36204128
1969-05-07,590.81,147.7025,43.6,3.38767202
1969-05-30,622.27,155.5675,43.37,3.58698409
1969-06-02,625.02,156.2550,42.9,3.64230769
1969-06-03,624.32,156.0800,42.5,3.67247059
1969-06-04,632.16,158.0400,42.3,3.73617021
1969-06-06,635.74,158.9350,40.9,3.88594132
1969-06-09,639.31,159.8275,41.5,3.85126506
1969-06-10,628.19,157.0475,42.5,3.69523529
1969-06-11,615.43,153.8575,41.6,3.69849760
1969-06-12,611.82,152.9550,41.7,3.66798561
1969-06-13,616.95,154.2375,41.8,3.68989234
1969-06-16,617.62,154.4050,40.8,3.78443627
1969-06-18,613.08,153.2700,41.6,3.68437500
1969-06-19,608.21,152.0525,41.6,3.65510817
1969-06-20,591.89,147.9725,41.5,3.56560241
1969-06-23,573.33,143.3325,41.5,3.45379518
1969-06-24,586.83,146.7075,41.2,3.56086165
1969-06-25,586.19,146.5475,41.1,3.56563260
1969-06-26,584.52,146.1300,41.2,3.54684466
1969-06-27,588.95,147.2375,41.3,3.56507264
1969-06-30,588.76,147.1900,41.4,3.55531401
1969-07-01,585.64,146.4100,41.4,3.53647343
1969-07-02,588.05,147.0125,41.4,3.55102657
1969-07-03,587.42,146.8550,41.8,3.51327751
1969-07-04,588.87,147.2175,41.8,3.52194976
1969-07-07,586.9,146.7250,42,3.49345238
1969-07-08,582.36,145.5900,42.3,3.44184397
1969-07-09,571.65,142.9125,42,3.40267857
1969-07-10,572.02,143.0050,42.1,3.39679335
1969-07-11,562.09,140.5225,42.1,3.33782660
1969-07-14,548.41,137.1025,42.2,3.24887441
1969-07-15,553.58,138.3950,42.2,3.27950237
1969-07-16,563.02,140.7550,42,3.35130952
1969-07-17,567.41,141.8525,42.2,3.36143365
1969-07-18,571.95,142.9875,42.2,3.38832938
1969-07-21,569.35,142.3375,42.2,3.37292654
1969-07-22,572.88,143.2200,42.1,3.40190024
1969-07-23,571.21,142.8025,42,3.40005952
1969-07-24,565.26,141.3150,42.1,3.35665083
1969-07-25,567.75,141.9375,42.1,3.37143705
1969-07-28,564.14,141.0350,42,3.35797619
1969-07-29,560.9,140.2250,41.7,3.36270983
1969-07-30,562.69,140.6725,41.7,3.37344125
1969-07-31,568.83,142.2075,41.6,3.41844952
1969-08-01,577.79,144.4475,41.6,3.47229567
1969-08-04,578.05,144.5125,41.5,3.48222892
1969-08-05,577.19,144.2975,41.3,3.49388620
1969-08-06,584.86,146.2150,41.2,3.54890777
1969-08-07,588.13,147.0325,41.3,3.56010896
1969-08-08,589.69,147.4225,41.3,3.56955206
1969-08-11,586.79,146.6975,41.4,3.54341787
