Date,AssetPrice,AssetPriceUSD,GoldPrice,Ratio
1925-03-02,123.93,123.9300,20.67,5.99564586
1925-03-03,125.25,125.2500,20.67,6.05950653
1925-03-04,123.26,123.2600,20.67,5.96323174
1925-03-05,124.81,124.8100,20.67,6.03821964
1925-03-06,125.68,125.6800,20.67,6.08030963
1925-06-01,129.69,129.6900,20.67,6.27431060
1925-06-02,130.42,130.4200,20.67,6.30962748
1925-06-03,130.41,130.4100,20.67,6.30914369
1925-06-04,128.89,128.8900,20.67,6.23560716
1925-06-05,128.98,128.9800,20.67,6.23996130
1925-06-08,127.12,127.1200,20.67,6.14997581
1925-09-01,139.78,139.7800,20.67,6.76245767
1925-09-02,137.22,137.2200,20.67,6.63860668
1925-09-03,139.91,139.9100,20.67,6.76874698
1925-09-04,140.88,140.8800,20.67,6.81567489
1925-09-08,140.86,140.8600,20.67,6.81470731
1925-12-01,152.11,152.1100,20.67,7.35897436
1925-12-02,152.88,152.8800,20.67,7.39622642
1925-12-03,153.8,153.8000,20.67,7.44073537
1925-12-04,154.6,154.6000,20.67,7.47943880
1925-12-07,154.21,154.2100,20.67,7.46057088
1925-12-08,153.84,153.8400,20.67,7.44267054
1926-03-01,150.9,150.9000,20.67,7.30043541
1926-03-02,147.06,147.0600,20.67,7.11465893
1926-03-03,144.44,144.4400,20.67,6.98790518
1926-03-04,150.76,150.7600,20.67,7.29366231
1926-03-05,150.4,150.4000,20.67,7.27624577
1926-03-08,150.1,150.1000,20.67,7.26173198
1926-06-01,142.3,142.3000,20.67,6.88437349
1926-06-02,143.55,143.5500,20.67,6.94484761
1926-06-03,145.03,145.0300,20.67,7.01644896
1926-06-04,145.28,145.2800,20.67,7.02854378
1926-06-07,145.56,145.5600,20.67,7.04208999
1926-06-08,145.4,145.4000,20.67,7.03434930
1926-09-01,163.93,163.9300,20.67,7.93081761
1926-09-02,163.23,163.2300,20.67,7.89695210
1926-09-03,163.75,163.7500,20.67,7.92210934
1926-09-07,166.1,166.1000,20.67,8.03580068
1926-09-08,165.05,165.0500,20.67,7.98500242
1926-12-01,157.31,157.3100,20.67,7.61054669
1926-12-02,158,158.0000,20.67,7.64392840
1926-12-03,158.5,158.5000,20.67,7.66811805
1926-12-06,159.3,159.3000,20.67,7.70682148
1926-12-07,158.86,158.8600,20.67,7.68553459
