Date,AssetPrice,AssetPriceUSD,GoldPrice,Ratio
1985-12-31,1412.6,2041.6308,331.1,6.16620592
1986-01-02,1417.26,2055.7356,328.9,6.25033636
1986-01-03,1424.61,2048.5892,330,6.20784600
1986-01-06,1430.96,2054.1431,330.7,6.21150009
1986-01-07,1421.22,2045.5619,332.8,6.14652027
1986-01-08,1408.79,2033.1657,336.1,6.04928809
1986-01-09,1389.15,2014.4064,339.9,5.92646783
1986-01-10,1395.65,2029.9729,343.3,5.91311659
1986-01-13,1397.34,2014.6848,341.5,5.89951629
1986-01-14,1380.96,1988.7205,341,5.83202491
1986-01-15,1384.49,1996.4346,350.7,5.69271337
1986-01-16,1391.69,2001.2502,357.6,5.59633730
1986-01-17,1395.65,2005.2699,358,5.60131263
1986-01-20,1391.13,1998.7756,355.1,5.62876819
1986-01-21,1379.4,1941.5055,352.8,5.50313350
1986-01-22,1385.62,1931.9700,351.5,5.49635837
1986-01-23,1380.25,1909.5759,351.9,5.42647307
1986-01-24,1389.15,1936.3362,358.4,5.40272373
1986-01-27,1400.59,1949.0610,354.3,5.50116016
1986-01-28,1420.51,2000.2201,357.1,5.60128852
1986-01-29,1425.03,1998.3196,360.2,5.54780558
1986-01-30,1437.46,2025.3811,359.4,5.63545114
1986-01-31,1449.47,2046.6516,352.9,5.79952292
1986-02-03,1444.67,2002.3126,347.4,5.76370933
1986-02-04,1444.24,1988.7185,337.4,5.89424564
1986-02-05,1448.76,2014.6457,339.3,5.93765298
1986-02-06,1454.13,2031.7104,340.4,5.96859705
1986-02-07,1464.87,2049.3531,342.5,5.98351279
1986-02-10,1480.55,2085.3547,340.8,6.11899846
1986-02-11,1483.94,2095.3233,341.6,6.13385035
1986-02-12,1494.67,2106.8868,340.8,6.18217967
1986-02-13,1503.71,2131.3586,335.3,6.35657189
1986-02-14,1506.96,2137.1707,336.2,6.35684316
1986-02-17,1505.69,2135.3696,336.2,6.35148590
1986-02-18,1517.56,2167.6827,339.7,6.38116781
1986-02-19,1524.48,2210.3436,339,6.52018747
1986-02-20,1527.87,2217.8561,341.4,6.49635645
