Date,AssetPrice,AssetPriceUSD,GoldPrice,Ratio
1949-03-01,121.14,0.3365,42,0.00801190
1949-06-01,175.97,0.4888,42.5,0.01150131
1949-06-02,174.76,0.4854,42.5,0.01142222
1949-06-03,175.48,0.4874,42.5,0.01146928
1949-06-04,175.98,0.4888,42.5,0.01150196
1949-06-06,174.92,0.4859,42.5,0.01143268
1949-06-07,173.83,0.4829,42.5,0.01136144
1949-06-08,171.53,0.4765,42.5,0.01121111
1949-09-01,176.89,0.4914,40.5,0.01213237
1949-09-02,173,0.4806,40.5,0.01186557
1949-09-03,171.57,0.4766,40.5,0.01176749
1949-09-05,172.21,0.4784,40.5,0.01181139
1949-09-06,172.41,0.4789,40.5,0.01182510
1949-09-07,171.89,0.4775,40.5,0.01178944
1949-09-08,170.11,0.4725,40.5,0.01166735
1949-12-01,109.91,0.3053,40.5,0.00753841
1949-12-02,122.53,0.3404,40.5,0.00840398
1949-12-03,121,0.3361,40.5,0.00829904
1949-12-05,120.92,0.3359,40.5,0.00829355
1949-12-06,120.07,0.3335,40.5,0.00823525
1949-12-07,117.39,0.3261,40.5,0.00805144
1949-12-08,111.99,0.3111,40.5,0.00768107
1950-03-01,108.19,0.3005,40.5,0.00742044
1950-03-02,108.15,0.3004,40.5,0.00741770
1950-03-03,106.65,0.2963,40.5,0.00731481
1950-03-04,105.52,0.2931,40.5,0.00723731
1950-03-06,104.43,0.2901,40.5,0.00716255
1950-03-07,102.83,0.2856,40.5,0.00705281
1950-03-08,102.93,0.2859,40.5,0.00705967
1950-06-01,94.22,0.2617,41.5,0.00630656
1950-06-02,93.94,0.2609,41.5,0.00628782
1950-06-03,94.32,0.2620,41.5,0.00631325
1950-06-05,94.68,0.2630,41.5,0.00633735
1950-06-06,94.12,0.2614,41.5,0.00629987
1950-06-07,93.39,0.2594,41.5,0.00625100
1950-06-08,92.74,0.2576,41.5,0.00620750
1950-09-01,113.46,0.3152,36.5,0.00863470
1950-09-02,112.98,0.3138,36.5,0.00859817
1950-09-04,111.25,0.3090,36.5,0.00846651
1950-09-05,111.48,0.3097,36.5,0.00848402
1950-09-06,112.06,0.3113,36.5,0.00852816
1950-09-07,110.82,0.3078,36.5,0.00843379
1950-09-08,108.39,0.3011,36.5,0.00824886
1950-12-01,101.91,0.2831,40.25,0.00703313
1950-12-02,109.45,0.3040,40.25,0.00755349
1950-12-04,107.03,0.2973,40.25,0.00738647
1950-12-05,106.43,0.2956,40.25,0.00734507
1950-12-06,106.58,0.2961,40.25,0.00735542
1950-12-07,105.94,0.2943,40.25,0.00731125
1950-12-08,103.62,0.2878,40.25,0.00715114
1951-03-01,122.71,0.3409,40.25,0.00846860
1951-03-02,123.93,0.3443,40.25,0.00855280
1951-03-03,125.36,0.3482,40.25,0.00865148
1951-03-05,127.89,0.3553,40.25,0.00882609
1951-03-06,126.89,0.3525,40.25,0.00875707
1951-03-07,128.9,0.3581,40.25,0.00889579
1951-03-08,130.55,0.3626,40.25,0.00900966
1951-06-01,127.32,0.3537,44,0.00803788
1951-06-02,127.61,0.3545,44,0.00805619
1951-06-04,129.34,0.3593,44,0.00816540
1951-06-05,132.47,0.3680,44,0.00836301
1951-06-06,132.08,0.3669,44,0.00833838
1951-06-07,131.46,0.3652,44,0.00829924
1951-06-08,132.55,0.3682,44,0.00836806
1951-09-01,145.93,0.4054,40,0.01013403
1951-09-03,146.42,0.4067,40,0.01016806
1951-09-04,144.68,0.4019,40,0.01004722
1951-09-05,144.46,0.4013,40,0.01003194
1951-09-06,144.6,0.4017,40,0.01004167
1951-09-07,145.49,0.4041,40,0.01010347
1951-09-08,145.83,0.4051,40,0.01012708
1951-12-01,166.06,0.4613,40,0.01153194
1951-12-03,159.93,0.4443,40,0.01110625
1951-12-04,159.29,0.4425,40,0.01106181
1951-12-05,159.45,0.4429,40,0.01107292
1951-12-06,159.38,0.4427,40,0.01106806
1951-12-07,160.07,0.4446,40,0.01111597
1951-12-08,160.88,0.4469,40,0.01117222
1952-03-01,182.15,0.5060,40,0.01264931
1952-03-03,184.23,0.5117,40,0.01279375
1952-03-04,185.38,0.5149,40,0.01287361
1952-03-05,184.27,0.5119,40,0.01279653
1952-03-06,185.81,0.5161,40,0.01290347
1952-03-07,187.23,0.5201,40,0.01300208
1952-03-08,188.08,0.5224,40,0.01306111
1952-06-02,228.41,0.6345,40.75,0.01556987
1952-06-03,225.98,0.6277,40.75,0.01540423
1952-06-04,224,0.6222,40.75,0.01526926
1952-06-05,227.01,0.6306,40.75,0.01547444
1952-06-06,225.1,0.6253,40.75,0.01534424
1952-06-07,226.16,0.6282,40.75,0.01541650
1952-09-01,254.38,0.7066,38.15,0.01852192
1952-09-02,255.85,0.7107,38.15,0.01862895
1952-09-03,255.99,0.7111,38.15,0.01863914
1952-09-04,255.88,0.7108,38.15,0.01863113
1952-09-05,257.84,0.7162,38.15,0.01877385
1952-09-06,258.33,0.7176,38.15,0.01880952
1952-09-08,255.97,0.7110,38.15,0.01863769
1952-12-01,348.95,0.9693,38.7,0.02504666
1952-12-02,347.19,0.9644,38.7,0.02492033
1952-12-03,343.72,0.9548,38.7,0.02467126
1952-12-04,340.33,0.9454,38.7,0.02442794
1952-12-05,343.6,0.9544,38.7,0.02466265
1952-12-06,347.47,0.9652,38.7,0.02494042
1952-12-08,352.68,0.9797,38.7,0.02531438
1953-03-02,393.14,1.0921,38.7,0.02821849
1953-03-03,384.95,1.0693,38.7,0.02763063
1953-03-04,378.22,1.0506,38.7,0.02714757
1953-03-05,340.41,0.9456,38.7,0.02443368
1953-03-06,361.88,1.0052,38.7,0.02597473
1953-03-07,377.86,1.0496,38.7,0.02712173
1953-06-01,329.34,0.9148,39.25,0.02330786
1953-06-02,323.64,0.8990,39.25,0.02290446
1953-06-03,321.79,0.8939,39.25,0.02277353
1953-06-04,327.99,0.9111,39.25,0.02321231
1953-06-05,324.15,0.9004,39.25,0.02294055
1953-06-06,327.07,0.9085,39.25,0.02314720
1953-06-08,335.34,0.9315,39.25,0.02373248
1953-09-01,406.94,1.1304,35.25,0.03206777
1953-09-02,414.42,1.1512,35.25,0.03265721
1953-09-03,418.05,1.1613,35.25,0.03294326
1953-09-04,425.58,1.1822,35.25,0.03353664
1953-09-05,425.94,1.1832,35.25,0.03356501
1953-09-07,433.38,1.2038,35.25,0.03415130
1953-09-08,435.23,1.2090,35.25,0.03429708
1953-12-01,420.91,1.1692,35.5,0.03293505
1953-12-02,421.74,1.1715,35.5,0.03300000
1953-12-03,420.35,1.1676,35.5,0.03289124
1953-12-04,420.14,1.1671,35.5,0.03287480
1953-12-05,418.36,1.1621,35.5,0.03273552
1953-12-07,415.66,1.1546,35.5,0.03252426
1953-12-08,415.86,1.1552,35.5,0.03253991
1954-03-01,349.65,0.9712,35.5,0.02735915
1954-03-02,349.03,0.9695,35.5,0.02731064
1954-03-03,351.31,0.9759,35.5,0.02748905
1954-03-04,350.46,0.9735,35.5,0.02742254
1954-03-05,349.22,0.9701,35.5,0.02732551
1954-03-06,349.2,0.9700,35.5,0.02732394
1954-03-08,348.9,0.9692,35.5,0.02730047
1954-06-01,326.39,0.9066,35.5,0.02553912
1954-06-02,324.69,0.9019,35.5,0.02540610
1954-06-03,325.03,0.9029,35.5,0.02543271
1954-06-04,323.68,0.8991,35.5,0.02532707
1954-06-05,323.44,0.8984,35.5,0.02530829
1954-06-07,322.75,0.8965,35.5,0.02525430
1954-06-08,325.41,0.9039,35.5,0.02546244
1954-09-01,351.27,0.9757,35.25,0.02768085
1954-09-02,352.73,0.9798,35.25,0.02779590
1954-09-03,352.08,0.9780,35.25,0.02774468
1954-09-04,353.36,0.9816,35.25,0.02784555
1954-09-06,352.62,0.9795,35.25,0.02778723
1954-09-07,350.03,0.9723,35.25,0.02758314
1954-09-08,350.29,0.9730,35.25,0.02760362
1954-12-01,326.12,0.9059,35.25,0.02569898
1954-12-02,323.86,0.8996,35.25,0.02552088
1954-12-03,324.83,0.9023,35.25,0.02559732
1954-12-04,325.06,0.9029,35.25,0.02561545
1954-12-06,326.9,0.9081,35.25,0.02576044
1954-12-07,337.57,0.9377,35.25,0.02660126
1954-12-08,341.69,0.9491,35.25,0.02692593
1955-03-01,362.6,1.0072,35.25,0.02857368
1955-03-02,362.28,1.0063,35.25,0.02854846
1955-03-03,360.4,1.0011,35.25,0.02840032
1955-03-04,357.65,0.9935,35.25,0.02818361
1955-03-05,353.01,0.9806,35.25,0.02781797
1955-03-07,353.8,0.9828,35.25,0.02788022
1955-03-08,355.99,0.9889,35.25,0.02805280
1955-06-01,353.19,0.9811,35.25,0.02783215
1955-06-02,354.21,0.9839,35.25,0.02791253
1955-06-03,358.11,0.9948,35.25,0.02821986
1955-06-04,359.21,0.9978,35.25,0.02830654
1955-06-06,358.41,0.9956,35.25,0.02824350
1955-06-07,360.86,1.0024,35.25,0.02843656
1955-06-08,360.78,1.0022,35.25,0.02843026
1955-09-01,387.46,1.0763,35.15,0.03061957
1955-09-02,389.92,1.0831,35.15,0.03081397
1955-09-03,389.15,1.0810,35.15,0.03075312
1955-09-05,386.54,1.0737,35.15,0.03054686
1955-09-06,384.18,1.0672,35.15,0.03036036
1955-09-07,384,1.0667,35.15,0.03034614
1955-09-08,384.34,1.0676,35.15,0.03037300
1955-12-01,398.11,1.1059,35.15,0.03146120
1955-12-02,399.88,1.1108,35.15,0.03160107
1955-12-03,401.34,1.1148,35.15,0.03171645
1955-12-05,402.09,1.1169,35.15,0.03177572
1955-12-06,401.96,1.1166,35.15,0.03176545
1955-12-07,401.22,1.1145,35.15,0.03170697
1955-12-08,402.42,1.1178,35.15,0.03180180
1956-03-01,441.78,1.2272,35.15,0.03491228
1956-03-02,441.58,1.2266,35.15,0.03489648
1956-03-03,441.57,1.2266,35.15,0.03489569
1956-03-05,440.43,1.2234,35.15,0.03480560
1956-03-06,440.17,1.2227,35.15,0.03478505
1956-03-07,441.74,1.2271,35.15,0.03490912
1956-03-08,444.47,1.2346,35.15,0.03512486
1956-06-01,491.03,1.3640,35.15,0.03880433
1956-06-02,491.33,1.3648,35.15,0.03882804
1956-06-04,493.47,1.3708,35.15,0.03899716
1956-06-05,495.41,1.3761,35.15,0.03915047
1956-06-06,500.7,1.3908,35.15,0.03956852
1956-06-07,497.52,1.3820,35.15,0.03931721
1956-06-08,501.98,1.3944,35.15,0.03966967
1956-09-01,492.92,1.3692,35.2,0.03889836
1956-09-03,489.78,1.3605,35.2,0.03865057
1956-09-04,485.4,1.3483,35.2,0.03830492
1956-09-05,486.82,1.3523,35.2,0.03841698
1956-09-06,491.19,1.3644,35.2,0.03876184
1956-09-07,490.82,1.3634,35.2,0.03873264
1956-09-08,489.68,1.3602,35.2,0.03864268
1956-12-01,559.4,1.5539,35.2,0.04414457
1956-12-03,558.3,1.5508,35.2,0.04405777
1956-12-04,562.4,1.5622,35.2,0.04438131
1956-12-05,560.26,1.5563,35.2,0.04421244
1956-12-06,566.3,1.5731,35.2,0.04468908
1956-12-07,562.05,1.5612,35.2,0.04435369
1956-12-08,557.77,1.5494,35.2,0.04401594
1957-03-01,569.75,1.5826,35.2,0.04496133
1957-03-02,569.42,1.5817,35.2,0.04493529
1957-03-04,570.42,1.5845,35.2,0.04501420
1957-03-05,570.52,1.5848,35.2,0.04502210
1957-03-06,567.28,1.5758,35.2,0.04476641
1957-03-07,564.66,1.5685,35.2,0.04455966
1957-03-08,561.14,1.5587,35.2,0.04428188
1957-06-01,522.2,1.4506,35.15,0.04126758
1957-06-03,517.19,1.4366,35.15,0.04087166
1957-06-04,517.01,1.4361,35.15,0.04085744
1957-06-05,518.73,1.4409,35.15,0.04099336
1957-06-06,518.85,1.4413,35.15,0.04100284
1957-06-07,518.9,1.4414,35.15,0.04100680
1957-06-08,519.91,1.4442,35.15,0.04108661
1957-09-02,526.52,1.4626,35.25,0.04149094
1957-09-03,528.35,1.4676,35.25,0.04163515
1957-09-04,533.05,1.4807,35.25,0.04200552
1957-09-05,537.2,1.4922,35.25,0.04233255
1957-09-06,537.85,1.4940,35.25,0.04238377
1957-09-07,538.03,1.4945,35.25,0.04239795
1957-12-02,494.01,1.3722,35.25,0.03892908
1957-12-03,494.88,1.3747,35.25,0.03899764
1957-12-04,493.35,1.3704,35.25,0.03887707
1957-12-05,492.38,1.3677,35.25,0.03880063
1957-12-06,493.91,1.3720,35.25,0.03892120
1957-12-07,496.69,1.3797,35.25,0.03914027
1958-03-01,530.18,1.4727,35.25,0.04177935
1958-03-03,526.07,1.4613,35.25,0.04145548
1958-03-04,523.3,1.4536,35.25,0.04123719
1958-03-05,525.54,1.4598,35.25,0.04141371
1958-03-06,529.53,1.4709,35.25,0.04172813
1958-03-07,531.19,1.4755,35.25,0.04185894
1958-03-08,532.51,1.4792,35.25,0.04196296
1958-06-02,565.14,1.5698,35.25,0.04453428
1958-06-03,566.39,1.5733,35.25,0.04463278
1958-06-04,565.24,1.5701,35.25,0.04454216
1958-06-05,569.31,1.5814,35.25,0.04486288
1958-06-06,567.75,1.5771,35.25,0.04473995
1958-06-07,569.93,1.5831,35.25,0.04491174
1958-09-01,588.06,1.6335,35.25,0.04634043
1958-09-02,585.76,1.6271,35.25,0.04615918
1958-09-03,590.1,1.6392,35.25,0.04650118
1958-09-04,593.39,1.6483,35.25,0.04676044
1958-09-05,593.7,1.6492,35.25,0.04678487
1958-09-06,589.04,1.6362,35.25,0.04641765
1958-09-08,592.92,1.6470,35.25,0.04672340
1958-12-01,629.77,1.7494,35.25,0.04962727
1958-12-02,632.97,1.7583,35.25,0.04987943
1958-12-03,636.4,1.7678,35.25,0.05014972
1958-12-04,638.69,1.7741,35.25,0.05033018
1958-12-05,637.42,1.7706,35.25,0.05023010
1958-12-06,637.3,1.7703,35.25,0.05022065
1958-12-08,640.51,1.7792,35.25,0.05047360
1959-03-02,727.81,2.0217,35.25,0.05735303
1959-03-03,721.15,2.0032,35.25,0.05682821
1959-03-04,727.84,2.0218,35.25,0.05735540
1959-03-05,724.76,2.0132,35.25,0.05711269
1959-03-06,727.81,2.0217,35.25,0.05735303
1959-03-07,731,2.0306,35.25,0.05760441
1959-06-01,802.13,2.2281,35.25,0.06320961
1959-06-02,808.3,2.2453,35.25,0.06369582
1959-06-03,808.61,2.2461,35.25,0.06372025
1959-06-04,806.53,2.2404,35.25,0.06355634
1959-06-05,809.77,2.2494,35.25,0.06381166
1959-06-06,807.43,2.2429,35.25,0.06362727
1959-06-08,806.64,2.2407,35.25,0.06356501
1959-09-01,891.45,2.4763,35.25,0.07024823
1959-09-02,894.23,2.4840,35.25,0.07046730
1959-09-03,897.59,2.4933,35.25,0.07073207
1959-09-04,894.95,2.4860,35.25,0.07052403
1959-09-05,892.27,2.4785,35.25,0.07031284
1959-09-07,890.56,2.4738,35.25,0.07017809
1959-09-08,894.14,2.4837,35.25,0.07046020
1959-12-01,973.65,2.7046,35.25,0.07672577
1959-12-02,958.99,2.6639,35.25,0.07557053
1959-12-03,970.42,2.6956,35.25,0.07647124
1959-12-04,971.05,2.6974,35.25,0.07652088
1959-12-05,966.03,2.6834,35.25,0.07612530
1959-12-07,956.92,2.6581,35.25,0.07540741
1959-12-08,957.62,2.6601,35.25,0.07546257
1960-03-01,1025.02,2.8473,35.25,0.08077384
1960-03-02,1029.46,2.8596,35.25,0.08112372
1960-03-03,1032.3,2.8675,35.25,0.08134752
1960-03-04,1025.6,2.8489,35.25,0.08081954
1960-03-05,1027.82,2.8551,35.25,0.08099448
1960-03-07,1025.06,2.8474,35.25,0.08077699
1960-03-08,1032.07,2.8669,35.25,0.08132939
1960-06-01,971.93,2.6998,35.2,0.07669902
1960-06-02,967.22,2.6867,35.2,0.07632734
1960-06-03,1006.48,2.7958,35.2,0.07942551
1960-06-04,1018.99,2.8305,35.2,0.08041272
1960-06-06,1032.44,2.8679,35.2,0.08147412
1960-06-07,1043.98,2.8999,35.2,0.08238479
1960-06-08,1060.22,2.9451,35.2,0.08366635
1960-09-01,1178.43,3.2734,36.5,0.08968265
1960-09-02,1184.75,3.2910,36.5,0.09016362
1960-09-03,1181.25,3.2813,36.5,0.08989726
1960-09-05,1173.67,3.2602,36.5,0.08932040
1960-09-06,1182.7,3.2853,36.5,0.09000761
1960-09-07,1178.67,3.2741,36.5,0.08970091
1960-09-08,1182.94,3.2859,36.5,0.09002588
1960-12-01,1309.65,3.6379,36.5,0.09966895
1960-12-02,1314.82,3.6523,36.5,0.10006240
