Date,AssetPrice,AssetPriceUSD,GoldPrice,Ratio
1968-03-01,233.9,233.9000,35.2,6.64488636
1968-03-04,238.3,238.3000,35.2,6.76988636
1968-03-05,233.4,233.4000,35.2,6.63068182
1968-03-06,231.9,231.9000,35.2,6.58806818
1968-03-07,237.8,237.8000,35.2,6.75568182
1968-03-29,230.4,230.4000,39.4,5.84771574
1968-04-01,226,226.0000,39.4,5.73604061
1968-04-02,226.5,226.5000,39.4,5.74873096
1968-04-03,221.6,221.6000,39.4,5.62436548
1968-04-04,220.1,220.1000,39.4,5.58629442
1968-04-05,225.5,225.5000,39.4,5.72335025
1968-04-30,234.9,234.9000,39.1,6.00767263
1968-05-01,230.4,230.4000,39.1,5.89258312
1968-05-02,232.9,232.9000,39.1,5.95652174
1968-05-03,233.4,233.4000,39.1,5.96930946
1968-05-06,229,229.0000,39.1,5.85677749
1968-05-07,229.9,229.9000,39.1,5.87979540
1968-06-03,241.3,241.3000,41.3,5.84261501
1968-06-04,240.7,240.7000,41.3,5.82808717
1968-06-05,239.3,239.3000,41.3,5.79418886
1968-06-06,243.8,243.8000,41.3,5.90314770
1968-06-07,247.7,247.7000,41.3,5.99757869
1968-06-28,258.6,258.6000,41,6.30731707
1968-07-01,254.6,254.6000,41,6.20975610
1968-07-02,258.6,258.6000,41,6.30731707
1968-07-03,259.5,259.5000,41,6.32926829
1968-07-31,247.2,247.2000,38.75,6.37935484
1968-08-01,240.3,240.3000,38.75,6.20129032
1968-08-02,243.2,243.2000,38.75,6.27612903
1968-08-05,233.4,233.4000,38.75,6.02322581
1968-08-06,221.6,221.6000,38.75,5.71870968
1968-08-07,239.8,239.8000,38.75,6.18838710
1968-08-30,248.7,248.7000,39.9,6.23308271
1968-09-03,271.3,271.3000,39.9,6.79949875
1968-09-04,272.9,272.9000,39.9,6.83959900
1968-09-05,269.9,269.9000,39.9,6.76441103
1968-09-06,260,260.0000,39.9,6.51629073
1968-09-30,250.7,250.7000,38.55,6.50324254
1968-10-01,252.6,252.6000,38.55,6.55252918
1968-10-02,226,226.0000,38.55,5.86251621
1968-10-03,252.5,252.5000,38.55,6.54993515
1968-10-04,229.9,229.9000,38.55,5.96368353
1968-10-07,229.1,229.1000,38.55,5.94293126
1968-10-31,229,229.0000,39.5,5.79746835
1968-11-01,232.9,232.9000,39.5,5.89620253
1968-11-04,234.9,234.9000,39.5,5.94683544
1968-11-06,232.4,232.4000,39.5,5.88354430
1968-11-07,231.9,231.9000,39.5,5.87088608
1968-11-29,238.3,238.3000,40.62,5.86656819
1968-12-02,238.8,238.8000,40.62,5.87887740
1968-12-03,266.9,266.9000,40.62,6.57065485
1968-12-04,245.4,245.4000,40.62,6.04135894
1968-12-05,243.3,243.3000,40.62,5.98966027
1968-12-06,246.2,246.2000,40.62,6.06105367
1968-12-31,244.4,244.4000,41.72,5.85810163
1969-01-02,245.7,245.7000,41.72,5.88926174
1969-01-03,245.5,245.5000,41.72,5.88446788
1969-01-06,245.4,245.4000,41.72,5.88207095
1969-01-07,242.1,242.1000,41.72,5.80297220
1969-01-31,247.5,247.5000,42.52,5.82079022
1969-02-03,243.8,243.8000,42.52,5.73377234
1969-02-04,244.3,244.3000,42.52,5.74553151
1969-02-05,240.9,240.9000,42.52,5.66556914
1969-02-06,241.2,241.2000,42.52,5.67262465
1969-02-07,235.5,235.5000,42.52,5.53857008
1969-02-28,234.4,234.4000,42.7,5.48946136
1969-03-03,235.2,235.2000,42.7,5.50819672
1969-03-04,240.5,240.5000,42.7,5.63231850
1969-03-05,239.6,239.6000,42.7,5.61124122
1969-03-06,242.3,242.3000,42.7,5.67447307
1969-03-07,241.8,241.8000,42.7,5.66276347
1969-04-01,223,223.0000,43.4,5.13824885
1969-04-02,217.1,217.1000,43.4,5.00230415
1969-04-03,204.6,204.6000,43.4,4.71428571
1969-04-07,199.3,199.3000,43.4,4.59216590
1969-04-30,179.1,179.1000,43.6,4.10779817
1969-05-01,178.6,178.6000,43.6,4.09633028
1969-05-02,180.6,180.6000,43.6,4.14220183
1969-05-05,179.6,179.6000,43.6,4.11926606
1969-05-06,179.1,179.1000,43.6,4.10779817
1969-05-07,184.5,184.5000,43.6,4.23165138
1969-06-02,173.7,173.7000,42.9,4.04895105
1969-06-03,173.2,173.2000,42.5,4.07529412
1969-06-04,171.2,171.2000,42.3,4.04728132
1969-06-05,169.2,169.2000,41.8,4.04784689
1969-06-06,168.8,168.8000,40.9,4.12713936
1969-06-09,171.2,171.2000,41.5,4.12530120
1969-06-10,166.8,166.8000,42.5,3.92470588
1969-06-11,167.8,167.8000,41.6,4.03365385
1969-06-12,168.8,168.8000,41.7,4.04796163
1969-06-13,170.2,170.2000,41.8,4.07177033
