Date,AssetPrice,AssetPriceUSD,GoldPrice,Ratio
1925-03-01,0.69,0.6900,20.67,0.03338171
1925-06-01,0.69,0.6900,20.67,0.03338171
1925-09-01,0.69,0.6900,20.67,0.03338171
1925-12-01,0.69,0.6900,20.67,0.03338171
1926-03-01,0.62,0.6200,20.67,0.02999516
1926-06-01,0.62,0.6200,20.67,0.02999516
1926-09-01,0.54,0.5400,20.67,0.02612482
1926-12-01,0.54,0.5400,20.67,0.02612482
1927-03-01,0.57,0.5700,20.67,0.02757620
1927-06-01,0.57,0.5700,20.67,0.02757620
1927-09-01,0.58,0.5800,20.67,0.02805999
1927-12-01,0.58,0.5800,20.67,0.02805999
1928-03-01,0.58,0.5800,20.67,0.02805999
1928-06-01,0.58,0.5800,20.67,0.02805999
1928-09-01,0.58,0.5800,20.67,0.02805999
1928-12-01,0.58,0.5800,20.67,0.02805999
1929-03-01,0.53,0.5300,20.67,0.02564103
1929-06-01,0.53,0.5300,20.67,0.02564103
1929-09-01,0.49,0.4900,20.67,0.02370585
1929-12-01,0.49,0.4900,20.67,0.02370585
1930-03-01,0.38,0.3800,20.67,0.01838413
1930-06-01,0.38,0.3800,20.67,0.01838413
1930-09-01,0.33,0.3300,20.67,0.01596517
1930-12-01,0.33,0.3300,20.67,0.01596517
1931-03-01,0.3,0.3000,20.67,0.01451379
1931-06-01,0.3,0.3000,20.67,0.01451379
1931-09-01,0.29,0.2900,20.67,0.01403000
1931-12-01,0.29,0.2900,20.67,0.01403000
1932-03-01,0.25,0.2500,20.67,0.01209482
1932-06-01,0.25,0.2500,20.67,0.01209482
1932-09-01,0.28,0.2800,20.67,0.01354620
1932-12-01,0.28,0.2800,20.67,0.01354620
1933-03-01,0.35,0.3500,20.67,0.01693275
1933-06-01,0.35,0.3500,20.67,0.01693275
1933-09-01,0.44,0.4400,34.06,0.01291838
1933-12-01,0.44,0.4400,32.32,0.01361386
1934-03-01,0.48,0.4800,34.06,0.01409278
1934-06-01,0.48,0.4800,34.06,0.01409278
1934-09-01,0.54,0.5400,35,0.01542857
1934-12-01,0.54,0.5400,35,0.01542857
1935-03-01,0.64,0.6400,35,0.01828571
1935-06-01,0.64,0.6400,35,0.01828571
1935-09-01,0.58,0.5800,35,0.01657143
1935-12-01,0.58,0.5800,35,0.01657143
1936-03-01,0.45,0.4500,35,0.01285714
1936-06-01,0.45,0.4500,35,0.01285714
1936-09-01,0.45,0.4500,35,0.01285714
1936-12-01,0.45,0.4500,35,0.01285714
1937-03-01,0.45,0.4500,35,0.01285714
1937-06-01,0.45,0.4500,35,0.01285714
1937-09-01,0.44,0.4400,35,0.01257143
1937-12-01,0.44,0.4400,35,0.01257143
1938-03-01,0.43,0.4300,35,0.01228571
1938-06-01,0.43,0.4300,35,0.01228571
1938-09-01,0.43,0.4300,35,0.01228571
1938-12-01,0.43,0.4300,35,0.01228571
1939-03-01,0.39,0.3900,35,0.01114286
1939-06-01,0.39,0.3900,35,0.01114286
1939-09-01,0.35,0.3500,35,0.01000000
1939-12-01,0.35,0.3500,35,0.01000000
1940-03-01,0.35,0.3500,34.75,0.01007194
1940-06-01,0.35,0.3500,34.75,0.01007194
1940-09-01,0.35,0.3500,34.1,0.01026393
1940-12-01,0.35,0.3500,34.5,0.01014493
1941-03-01,0.35,0.3500,34.5,0.01014493
1941-06-01,0.35,0.3500,34.25,0.01021898
1941-09-01,0.35,0.3500,35.5,0.00985915
1941-12-01,0.35,0.3500,35.5,0.00985915
