Date,AssetPrice,AssetPriceUSD,GoldPrice,Ratio
1925-03-02,11.6,11.6000,20.67,0.56119981
1925-03-03,11.68,11.6800,20.67,0.56507015
1925-03-04,11.53,11.5300,20.67,0.55781326
1925-03-05,11.64,11.6400,20.67,0.56313498
1925-03-06,11.69,11.6900,20.67,0.56555394
1925-03-07,11.63,11.6300,20.67,0.56265119
1925-06-01,11.81,11.8100,20.67,0.57135946
1925-06-02,11.84,11.8400,20.67,0.57281084
1925-06-03,11.84,11.8400,20.67,0.57281084
1925-06-04,11.74,11.7400,20.67,0.56797291
1925-06-05,11.74,11.7400,20.67,0.56797291
1925-06-06,11.74,11.7400,20.67,0.56797291
1925-06-08,11.58,11.5800,20.67,0.56023222
1925-09-01,12.43,12.4300,20.67,0.60135462
1925-09-02,12.24,12.2400,20.67,0.59216255
1925-09-03,12.42,12.4200,20.67,0.60087083
1925-09-04,12.51,12.5100,20.67,0.60522496
1925-09-05,12.54,12.5400,20.67,0.60667634
1925-09-08,12.52,12.5200,20.67,0.60570876
1925-12-01,13.4,13.4000,20.67,0.64828254
1925-12-02,13.43,13.4300,20.67,0.64973391
1925-12-03,13.48,13.4800,20.67,0.65215288
1925-12-04,13.55,13.5500,20.67,0.65553943
1925-12-05,13.6,13.6000,20.67,0.65795839
1925-12-07,13.6,13.6000,20.67,0.65795839
1925-12-08,13.57,13.5700,20.67,0.65650701
1926-03-01,13.32,13.3200,20.67,0.64441219
1926-03-02,13.04,13.0400,20.67,0.63086599
1926-03-03,12.79,12.7900,20.67,0.61877117
1926-03-04,13.28,13.2800,20.67,0.64247702
1926-03-05,13.36,13.3600,20.67,0.64634736
1926-03-06,13.31,13.3100,20.67,0.64392840
1926-03-08,13.28,13.2800,20.67,0.64247702
1926-06-01,13,13.0000,20.67,0.62893082
1926-06-02,13.06,13.0600,20.67,0.63183358
1926-06-03,13.15,13.1500,20.67,0.63618771
1926-06-04,13.21,13.2100,20.67,0.63909047
1926-06-05,13.23,13.2300,20.67,0.64005806
1926-06-07,13.24,13.2400,20.67,0.64054185
1926-06-08,13.22,13.2200,20.67,0.63957426
1926-09-01,14.77,14.7700,20.67,0.71456217
1926-09-02,14.73,14.7300,20.67,0.71262700
1926-09-03,14.82,14.8200,20.67,0.71698113
1926-09-07,14.93,14.9300,20.67,0.72230285
1926-09-08,14.81,14.8100,20.67,0.71649734
1926-12-01,14.19,14.1900,20.67,0.68650218
1926-12-02,14.24,14.2400,20.67,0.68892114
1926-12-03,14.29,14.2900,20.67,0.69134011
1926-12-04,14.3,14.3000,20.67,0.69182390
1926-12-06,14.29,14.2900,20.67,0.69134011
1926-12-07,14.28,14.2800,20.67,0.69085631
