Date,Open,High,Low,Close
1925-01-30,0.1479,0.1479,0.1479,0.1479
1925-02-27,0.1454,0.1454,0.1454,0.1454
1925-03-31,0.1417,0.1417,0.1417,0.1417
1925-04-30,0.1345,0.1345,0.1345,0.1345
1925-05-29,0.135,0.135,0.135,0.135
1925-06-30,0.1347,0.1347,0.1347,0.1347
1925-07-31,0.1407,0.1407,0.1407,0.1407
1925-08-31,0.1457,0.1457,0.1457,0.1457
1925-09-30,0.1446,0.1446,0.1446,0.1446
1925-10-30,0.1442,0.1442,0.1442,0.1442
1925-11-30,0.1448,0.1448,0.1448,0.1448
1925-12-31,0.1396,0.1396,0.1396,0.1396
1926-01-29,0.1394,0.1394,0.1394,0.1394
1926-02-26,0.1414,0.1414,0.1414,0.1414
1926-03-31,0.1398,0.1398,0.1398,0.1398
1926-04-30,0.1381,0.1381,0.1381,0.1381
1926-05-28,0.1377,0.1377,0.1377,0.1377
1926-06-30,0.1379,0.1379,0.1379,0.1379
1926-07-30,0.14,0.14,0.14,0.14
1926-08-31,0.1426,0.1426,0.1426,0.1426
1926-09-30,0.1419,0.1419,0.1419,0.1419
1926-10-29,0.141,0.141,0.141,0.141
1926-11-30,0.1379,0.1379,0.1379,0.1379
1926-12-31,0.1344,0.1344,0.1344,0.1344
1927-01-31,0.1312,0.1312,0.1312,0.1312
1927-02-28,0.128,0.128,0.128,0.128
1927-03-31,0.1321,0.1321,0.1321,0.1321
1927-04-29,0.1293,0.1293,0.1293,0.1293
1927-05-31,0.1274,0.1274,0.1274,0.1274
1927-06-30,0.1246,0.1246,0.1246,0.1246
1927-07-29,0.1263,0.1263,0.1263,0.1263
1927-08-31,0.1311,0.1311,0.1311,0.1311
1927-09-30,0.1305,0.1305,0.1305,0.1305
1927-10-31,0.1312,0.1312,0.1312,0.1312
1927-11-30,0.1345,0.1345,0.1345,0.1345
1927-12-30,0.1395,0.1395,0.1395,0.1395
1928-01-31,0.1396,0.1396,0.1396,0.1396
1928-02-29,0.1397,0.1397,0.1397,0.1397
1928-03-30,0.1398,0.1398,0.1398,0.1398
1928-04-30,0.141,0.141,0.141,0.141
1928-05-31,0.1431,0.1431,0.1431,0.1431
1928-06-29,0.1462,0.1462,0.1462,0.1462
1928-07-31,0.1462,0.1462,0.1462,0.1462
1928-08-31,0.1462,0.1462,0.1462,0.1462
1928-09-28,0.1483,0.1483,0.1483,0.1483
1928-10-31,0.1531,0.1531,0.1531,0.1531
1928-11-30,0.159,0.159,0.159,0.159
1928-12-31,0.1594,0.1594,0.1594,0.1594
1929-01-31,0.1672,0.1672,0.1672,0.1672
1929-02-28,0.1792,0.1792,0.1792,0.1792
1929-03-28,0.2126,0.2126,0.2126,0.2126
1929-04-30,0.198,0.198,0.198,0.198
1929-05-31,0.1787,0.1787,0.1787,0.1787
1929-06-28,0.1787,0.1787,0.1787,0.1787
1929-07-31,0.1787,0.1787,0.1787,0.1787
1929-08-30,0.1787,0.1787,0.1787,0.1787
1929-09-30,0.1791,0.1791,0.1791,0.1791
1929-10-31,0.1787,0.1787,0.1787,0.1787
1929-11-27,0.1787,0.1787,0.1787,0.1787
1929-12-31,0.1787,0.1787,0.1787,0.1787
1930-01-31,0.1787,0.1787,0.1787,0.1787
1930-02-28,0.1787,0.1787,0.1787,0.1787
1930-03-31,0.1787,0.1787,0.1787,0.1787
1930-04-30,0.1574,0.1574,0.1574,0.1574
1930-05-29,0.1283,0.1283,0.1283,0.1283
1930-06-30,0.1224,0.1224,0.1224,0.1224
1930-07-31,0.1115,0.1115,0.1115,0.1115
1930-08-29,0.1079,0.1079,0.1079,0.1079
1930-09-30,0.1045,0.1045,0.1045,0.1045
1930-10-31,0.097,0.097,0.097,0.097
1930-11-28,0.1025,0.1025,0.1025,0.1025
1930-12-31,0.1049,0.1049,0.1049,0.1049
1931-01-30,0.099,0.099,0.099,0.099
1931-02-27,0.0983,0.0983,0.0983,0.0983
1931-03-31,0.1002,0.1002,0.1002,0.1002
1931-04-30,0.0957,0.0957,0.0957,0.0957
1931-05-29,0.0881,0.0881,0.0881,0.0881
1931-06-30,0.0818,0.0818,0.0818,0.0818
1931-07-31,0.078,0.078,0.078,0.078
1931-08-31,0.074,0.074,0.074,0.074
1931-09-30,0.0713,0.0713,0.0713,0.0713
1931-10-30,0.0689,0.0689,0.0689,0.0689
1931-11-30,0.0667,0.0667,0.0667,0.0667
1931-12-31,0.0672,0.0672,0.0672,0.0672
1932-01-29,0.0721,0.0721,0.0721,0.0721
1932-02-29,0.0612,0.0612,0.0612,0.0612
1932-03-31,0.0587,0.0587,0.0587,0.0587
1932-04-29,0.0566,0.0566,0.0566,0.0566
1932-05-31,0.0538,0.0538,0.0538,0.0538
1932-06-30,0.0526,0.0526,0.0526,0.0526
1932-07-29,0.0516,0.0516,0.0516,0.0516
1932-08-31,0.0531,0.0531,0.0531,0.0531
1932-09-30,0.0608,0.0608,0.0608,0.0608
1932-10-31,0.0585,0.0585,0.0585,0.0585
1932-11-30,0.0518,0.0518,0.0518,0.0518
1932-12-30,0.0491,0.0491,0.0491,0.0491
1933-01-31,0.0487,0.0487,0.0487,0.0487
1933-02-28,0.0487,0.0487,0.0487,0.0487
1933-03-31,0.0513,0.0513,0.0513,0.0513
1933-04-28,0.0556,0.0556,0.0556,0.0556
1933-05-31,0.0681,0.0681,0.0681,0.0681
1933-06-30,0.0787,0.0787,0.0787,0.0787
1933-07-31,0.0878,0.0878,0.0878,0.0878
1933-08-31,0.0887,0.0887,0.0887,0.0887
1933-09-29,0.0887,0.0887,0.0887,0.0887
1933-10-31,0.0813,0.0813,0.0813,0.0813
1933-11-29,0.0803,0.0803,0.0803,0.0803
1933-12-29,0.08,0.08,0.08,0.08
1934-01-31,0.0806,0.0806,0.0806,0.0806
1934-02-28,0.0787,0.0787,0.0787,0.0787
1934-03-29,0.0787,0.0787,0.0787,0.0787
1934-04-30,0.0827,0.0827,0.0827,0.0827
1934-05-31,0.0837,0.0837,0.0837,0.0837
1934-06-29,0.0868,0.0868,0.0868,0.0868
1934-07-31,0.0887,0.0887,0.0887,0.0887
1934-08-31,0.0887,0.0887,0.0887,0.0887
1934-09-28,0.0887,0.0887,0.0887,0.0887
1934-10-31,0.0887,0.0887,0.0887,0.0887
1934-11-30,0.0887,0.0887,0.0887,0.0887
1934-12-31,0.0887,0.0887,0.0887,0.0887
1935-01-31,0.0887,0.0887,0.0887,0.0887
1935-02-28,0.0887,0.0887,0.0887,0.0887
1935-03-29,0.0887,0.0887,0.0887,0.0887
1935-04-30,0.0887,0.0887,0.0887,0.0887
1935-05-31,0.0887,0.0887,0.0887,0.0887
1935-06-28,0.0877,0.0877,0.0877,0.0877
1935-07-31,0.0787,0.0787,0.0787,0.0787
1935-08-30,0.081,0.081,0.081,0.081
