Date,Open,High,Low,Close
1968-03-01,233.9,233.9,233.9,233.9
1968-03-04,238.3,238.3,238.3,238.3
1968-03-05,233.4,233.4,233.4,233.4
1968-03-06,231.9,231.9,231.9,231.9
1968-03-07,237.8,237.8,237.8,237.8
1968-03-08,238.3,238.3,238.3,238.3
1968-03-11,234.9,234.9,234.9,234.9
1968-03-12,238.8,238.8,238.8,238.8
1968-03-13,248.7,248.7,248.7,248.7
1968-03-14,252.6,252.6,252.6,252.6
1968-03-18,242.8,242.8,242.8,242.8
1968-03-19,232.9,232.9,232.9,232.9
1968-03-20,230.4,230.4,230.4,230.4
1968-03-21,229,229,229,229
1968-03-22,229,229,229,229
1968-03-25,225,225,225,225
1968-03-26,232.9,232.9,232.9,232.9
1968-03-27,233.9,233.9,233.9,233.9
1968-03-28,234.9,234.9,234.9,234.9
1968-03-29,230.4,230.4,230.4,230.4
1968-04-01,226,226,226,226
1968-04-02,226.5,226.5,226.5,226.5
1968-04-03,221.6,221.6,221.6,221.6
1968-04-04,220.1,220.1,220.1,220.1
1968-04-05,225.5,225.5,225.5,225.5
1968-04-08,229.8,229.8,229.8,229.8
1968-04-10,229,229,229,229
1968-04-11,230.4,230.4,230.4,230.4
1968-04-15,235.4,235.4,235.4,235.4
1968-04-16,236.4,236.4,236.4,236.4
1968-04-17,232,232,232,232
1968-04-18,231.9,231.9,231.9,231.9
1968-04-19,236.9,236.9,236.9,236.9
1968-04-22,246.7,246.7,246.7,246.7
1968-04-23,237.8,237.8,237.8,237.8
1968-04-24,241.8,241.8,241.8,241.8
1968-04-25,239.3,239.3,239.3,239.3
1968-04-26,243.7,243.7,243.7,243.7
1968-04-29,236.4,236.4,236.4,236.4
1968-04-30,234.9,234.9,234.9,234.9
1968-05-01,230.4,230.4,230.4,230.4
1968-05-02,232.9,232.9,232.9,232.9
1968-05-03,233.4,233.4,233.4,233.4
1968-05-06,229,229,229,229
1968-05-07,229.9,229.9,229.9,229.9
1968-05-08,231.9,231.9,231.9,231.9
1968-05-09,231.9,231.9,231.9,231.9
1968-05-10,232.4,232.4,232.4,232.4
1968-05-13,232.4,232.4,232.4,232.4
1968-05-14,234.4,234.4,234.4,234.4
1968-05-15,237.8,237.8,237.8,237.8
1968-05-16,243.8,243.8,243.8,243.8
1968-05-17,245.7,245.7,245.7,245.7
1968-05-20,244.7,244.7,244.7,244.7
1968-05-21,238.8,238.8,238.8,238.8
1968-05-22,232.9,232.9,232.9,232.9
1968-05-23,234.4,234.4,234.4,234.4
1968-05-24,237.3,237.3,237.3,237.3
1968-05-27,237.2,237.2,237.2,237.2
1968-05-28,236.9,236.9,236.9,236.9
1968-05-29,236.4,236.4,236.4,236.4
1968-06-03,241.3,241.3,241.3,241.3
1968-06-04,240.7,240.7,240.7,240.7
1968-06-05,239.3,239.3,239.3,239.3
1968-06-06,243.8,243.8,243.8,243.8
1968-06-07,247.7,247.7,247.7,247.7
1968-06-10,250.7,250.7,250.7,250.7
1968-06-11,259.4,259.4,259.4,259.4
1968-06-12,252.6,252.6,252.6,252.6
1968-06-13,242.8,242.8,242.8,242.8
1968-06-14,244.7,244.7,244.7,244.7
1968-06-17,252.6,252.6,252.6,252.6
1968-06-18,258.6,258.6,258.6,258.6
1968-06-19,257.1,257.1,257.1,257.1
1968-06-20,257.6,257.6,257.6,257.6
1968-06-21,261,261,261,261
1968-06-24,255.6,255.6,255.6,255.6
1968-06-25,253.5,253.5,253.5,253.5
1968-06-26,250.7,250.7,250.7,250.7
1968-06-27,258.6,258.6,258.6,258.6
1968-06-28,258.6,258.6,258.6,258.6
1968-07-01,254.6,254.6,254.6,254.6
1968-07-02,258.6,258.6,258.6,258.6
1968-07-03,259.5,259.5,259.5,259.5
1968-07-08,263.4,263.4,263.4,263.4
1968-07-09,260,260,260,260
1968-07-10,260.5,260.5,260.5,260.5
1968-07-11,257,257,257,257
1968-07-12,257.1,257.1,257.1,257.1
1968-07-15,260.4,260.4,260.4,260.4
1968-07-16,259.2,259.2,259.2,259.2
1968-07-17,255.1,255.1,255.1,255.1
1968-07-18,257.6,257.6,257.6,257.6
1968-07-19,255.6,255.6,255.6,255.6
1968-07-22,251.7,251.7,251.7,251.7
1968-07-23,255.1,255.1,255.1,255.1
1968-07-24,252.7,252.7,252.7,252.7
1968-07-25,253,253,253,253
1968-07-26,252.1,252.1,252.1,252.1
1968-07-29,250.7,250.7,250.7,250.7
1968-07-30,252.3,252.3,252.3,252.3
1968-07-31,247.2,247.2,247.2,247.2
1968-08-01,240.3,240.3,240.3,240.3
1968-08-02,243.2,243.2,243.2,243.2
1968-08-05,233.4,233.4,233.4,233.4
1968-08-06,221.6,221.6,221.6,221.6
1968-08-07,239.8,239.8,239.8,239.8
1968-08-08,240.8,240.8,240.8,240.8
1968-08-09,223.5,223.5,223.5,223.5
1968-08-12,237.3,237.3,237.3,237.3
1968-08-13,243.8,243.8,243.8,243.8
1968-08-14,251.7,251.7,251.7,251.7
1968-08-15,253.6,253.6,253.6,253.6
1968-08-16,249.2,249.2,249.2,249.2
1968-08-19,230.4,230.4,230.4,230.4
1968-08-20,256.6,256.6,256.6,256.6
1968-08-21,262.5,262.5,262.5,262.5
1968-08-22,238.7,238.7,238.7,238.7
1968-08-23,264,264,264,264
1968-08-26,238.8,238.8,238.8,238.8
1968-08-27,262.5,262.5,262.5,262.5
1968-08-28,261.5,261.5,261.5,261.5
1968-08-29,271.4,271.4,271.4,271.4
1968-08-30,248.7,248.7,248.7,248.7
1968-09-03,271.3,271.3,271.3,271.3
1968-09-04,272.9,272.9,272.9,272.9
1968-09-05,269.9,269.9,269.9,269.9
1968-09-06,260,260,260,260
1968-09-09,255.6,255.6,255.6,255.6
1968-09-10,260,260,260,260
1968-09-11,241.8,241.8,241.8,241.8
1968-09-12,261,261,261,261
1968-09-13,236.4,236.4,236.4,236.4
1968-09-16,240.4,240.4,240.4,240.4
1968-09-17,266.6,266.6,266.6,266.6
1968-09-18,242.8,242.8,242.8,242.8
1968-09-19,242.8,242.8,242.8,242.8
1968-09-20,269.9,269.9,269.9,269.9
1968-09-23,240.3,240.3,240.3,240.3
1968-09-24,265.5,265.5,265.5,265.5
1968-09-25,264.5,264.5,264.5,264.5
1968-09-26,260.5,260.5,260.5,260.5
1968-09-27,256.1,256.1,256.1,256.1
1968-09-30,250.7,250.7,250.7,250.7
1968-10-01,252.6,252.6,252.6,252.6
1968-10-02,226,226,226,226
1968-10-03,252.5,252.5,252.5,252.5
1968-10-04,229.9,229.9,229.9,229.9
1968-10-07,229.1,229.1,229.1,229.1
1968-10-08,227,227,227,227
1968-10-09,227,227,227,227
1968-10-10,228,228,228,228
1968-10-11,229.1,229.1,229.1,229.1
1968-10-14,246.7,246.7,246.7,246.7
1968-10-15,228,228,228,228
1968-10-16,229,229,229,229
1968-10-17,235.9,235.9,235.9,235.9
1968-10-18,237.8,237.8,237.8,237.8
1968-10-21,235.5,235.5,235.5,235.5
1968-10-22,237.8,237.8,237.8,237.8
1968-10-23,237.4,237.4,237.4,237.4
1968-10-24,234.4,234.4,234.4,234.4
1968-10-25,232.9,232.9,232.9,232.9
1968-10-28,233.4,233.4,233.4,233.4
1968-10-29,232.9,232.9,232.9,232.9
1968-10-30,232.9,232.9,232.9,232.9
1968-10-31,229,229,229,229
1968-11-01,232.9,232.9,232.9,232.9
1968-11-04,234.9,234.9,234.9,234.9
1968-11-06,232.4,232.4,232.4,232.4
1968-11-07,231.9,231.9,231.9,231.9
1968-11-08,230.8,230.8,230.8,230.8
1968-11-11,230.9,230.9,230.9,230.9
1968-11-12,231.4,231.4,231.4,231.4
