year,coffee_per_lb,eggs_per_doz,chips_per_16oz,milk_per_gal,pb_per_lb,icecream_per_halfgal,wage_index,rupi_coffee,rupi_eggs,rupi_chips,rupi_milk,rupi_pb,rupi_icecream
2000,3.450,0.913,3.360,2.781,3.698,3.830,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2001,3.093,0.929,3.426,2.884,3.871,4.027,1.038,0.864,0.980,0.982,0.999,1.008,1.013
2002,2.924,1.032,3.356,2.757,3.881,4.218,1.063,0.797,1.063,0.940,0.933,0.987,1.036
2003,2.916,1.244,3.499,2.761,3.771,3.948,1.082,0.781,1.259,0.962,0.918,0.942,0.953
2004,2.849,1.340,3.403,3.156,3.984,4.273,1.122,0.736,1.308,0.903,1.011,0.960,0.994
2005,3.262,1.218,3.368,3.187,3.881,4.381,1.131,0.836,1.180,0.886,1.013,0.928,1.011
2006,3.203,1.306,3.466,3.081,3.720,4.255,1.159,0.801,1.234,0.890,0.956,0.868,0.959
2007,3.469,1.676,3.530,3.503,3.839,4.230,1.212,0.830,1.515,0.867,1.039,0.857,0.911
2008,,1.987,4.021,3.795,4.042,4.725,1.262,,1.725,0.948,1.081,0.866,0.978
2009,,1.664,4.569,3.109,3.903,4.669,1.288,,1.415,1.056,0.868,0.819,0.946
2010,3.906,1.660,4.642,3.258,3.910,4.710,1.297,0.873,1.402,1.065,0.903,0.815,0.948
2011,5.191,1.769,4.968,3.572,4.066,5.419,1.318,1.142,1.470,1.122,0.975,0.834,1.074
2012,5.676,1.838,4.986,3.493,4.188,5.625,1.350,1.219,1.491,1.099,0.930,0.839,1.088
2013,5.453,1.910,4.665,3.462,4.175,5.558,1.358,1.164,1.541,1.022,0.917,0.831,1.069
2014,4.990,2.018,4.371,3.694,4.494,5.543,1.365,1.060,1.619,0.953,0.973,0.890,1.060
2015,4.720,2.469,4.408,3.419,4.456,5.379,1.404,0.974,1.926,0.934,0.876,0.858,1.000
2016,4.393,1.684,4.461,3.204,4.367,5.235,1.448,0.879,1.274,0.917,0.796,0.816,0.944
2017,4.453,1.467,4.409,3.226,4.248,4.895,1.509,0.855,1.065,0.870,0.769,0.761,0.847
2018,4.302,1.742,4.446,2.896,4.007,5.135,1.540,0.810,1.239,0.859,0.676,0.704,0.871
2019,,1.396,4.485,3.036,3.876,5.308,1.598,,0.957,0.835,0.683,0.656,0.867
2020,4.433,1.506,4.922,3.318,4.104,5.496,1.762,0.729,0.936,0.831,0.677,0.630,0.814
2021,4.705,1.674,5.076,3.544,4.036,5.440,1.741,0.783,1.053,0.868,0.732,0.627,0.816
2022,5.891,2.857,5.827,4.091,4.401,5.762,1.832,0.932,1.708,0.947,0.803,0.650,0.821
2023,6.156,2.796,6.445,4.027,4.756,5.823,1.937,0.921,1.581,0.990,0.748,0.664,0.785
2024,6.322,3.171,6.455,3.984,4.893,5.664,2.012,0.911,1.726,0.955,0.712,0.658,0.735
2025,8.180,4.252,6.705,4.067,4.947,5.842,2.107,1.125,2.210,0.947,0.694,0.635,0.724
