Country,Code,PPP_Wage_2024_USD,Hours_2022,Hours_Source,Wage_Source,Notes
Luxembourg,LUX,94447,1473,OECD via Wikipedia (labor hours),OECD via Wikipedia (avg wage),
Iceland,ISL,89947,1449,OECD via Wikipedia (labor hours),OECD via Wikipedia (avg wage),
Switzerland,CHE,87468,1528,OECD via Wikipedia (labor hours),OECD via Wikipedia (avg wage),
United States,USA,82933,1810,OECD via Wikipedia (labor hours),OECD via Wikipedia (avg wage),
Belgium,BEL,76109,1525,OECD via Wikipedia (labor hours),OECD via Wikipedia (avg wage),
Austria,AUT,75767,1443,OECD via Wikipedia (labor hours),OECD via Wikipedia (avg wage),
Netherlands,NLD,75370,1427,OECD via Wikipedia (labor hours),OECD via Wikipedia (avg wage),
Norway,NOR,74864,1424,OECD via Wikipedia (labor hours),OECD via Wikipedia (avg wage),
Denmark,DNK,74022,1371,OECD via Wikipedia (labor hours),OECD via Wikipedia (avg wage),
Australia,AUS,70763,1707,OECD via Wikipedia (labor hours),OECD via Wikipedia (avg wage),
Germany,DEU,69433,1340,OECD via Wikipedia (labor hours),OECD via Wikipedia (avg wage),
Canada,CAN,69417,1686,OECD via Wikipedia (labor hours),OECD via Wikipedia (avg wage),
United Kingdom,GBR,63691,1531,OECD via Wikipedia (labor hours),OECD via Wikipedia (avg wage),
New Zealand,NZL,62437,1748,OECD via Wikipedia (labor hours),OECD via Wikipedia (avg wage),
Slovenia,SVN,61776,1619,OECD via Wikipedia (labor hours),OECD via Wikipedia (avg wage),
France,FRA,60608,1511,OECD via Wikipedia (labor hours),OECD via Wikipedia (avg wage),
Ireland,IRL,60431,1657,OECD via Wikipedia (labor hours),OECD via Wikipedia (avg wage),
Finland,FIN,59597,1498,OECD via Wikipedia (labor hours),OECD via Wikipedia (avg wage),
Sweden,SWE,59058,1440,OECD via Wikipedia (labor hours),OECD via Wikipedia (avg wage),
Israel,ISR,54736,1891,OECD via Wikipedia (labor hours),OECD via Wikipedia (avg wage),
Spain,ESP,54564,1643,OECD via Wikipedia (labor hours),OECD via Wikipedia (avg wage),
Lithuania,LTU,52898,1624,OECD via Wikipedia (labor hours),OECD via Wikipedia (avg wage),
Italy,ITA,51019,1694,OECD via Wikipedia (labor hours),OECD via Wikipedia (avg wage),
South Korea,KOR,50947,1901,OECD via Wikipedia (labor hours),OECD via Wikipedia (avg wage),
Japan,JPN,49446,1607,OECD via Wikipedia (labor hours),OECD via Wikipedia (avg wage),
Latvia,LVA,45567,1553,OECD via Wikipedia (labor hours),OECD via Wikipedia (avg wage),
Poland,POL,44211,1814,OECD via Wikipedia (labor hours),OECD via Wikipedia (avg wage),
Portugal,PRT,40002,1635,OECD via Wikipedia (labor hours),OECD via Wikipedia (avg wage),
Estonia,EST,38975,1770,OECD via Wikipedia (labor hours),OECD via Wikipedia (avg wage),
Czech Republic,CZE,38489,1754,OECD via Wikipedia (labor hours),OECD via Wikipedia (avg wage),
Slovakia,SVK,36105,1622,OECD via Wikipedia (labor hours),OECD via Wikipedia (avg wage),
Hungary,HUN,34996,1699,OECD via Wikipedia (labor hours),OECD via Wikipedia (avg wage),
Greece,GRC,32257,1886,OECD via Wikipedia (labor hours),OECD via Wikipedia (avg wage),
Mexico,MEX,20433,2226,OECD via Wikipedia (labor hours),OECD via Wikipedia (avg wage),
Turkey,TUR,,1732,OECD via Wikipedia (labor hours),NOT IN OECD AVG WAGE TABLE,PPP wage not available in OECD dataset; UNECE nominal gross monthly $1362 (2023)
Chile,CHL,,1962,OECD via Wikipedia (labor hours),NOT IN OECD AVG WAGE TABLE (2024),Has hours and Big Mac data but no 2024 PPP wage
Colombia,COL,,2405,OECD via Wikipedia (labor hours),NOT IN OECD AVG WAGE TABLE,
Costa Rica,CRI,,2149,OECD via Wikipedia (labor hours),NOT IN OECD AVG WAGE TABLE,
